Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-04-05,15368.259765625,15419.650390625,15304.0595703125,15374.1103515625,3968020000,15000.352818080357,15464.63814453125
2023-04-06,15379.1298828125,15400.759765625,15323.1796875,15368.259765625,3486690000,14997.423781622023,15454.4353515625
2023-04-10,15427.1796875,15427.2998046875,15297.7802734375,15379.1298828125,3423650000,15011.06138392857,15443.26154296875
2023-04-11,15520.919921875,15567.2802734375,15427.1796875,15427.1796875,3665830000,15040.906156994048,15434.42833984375
2023-04-12,15500.9296875,15668.3603515625,15485.5,15520.919921875,3633120000,15075.980422247023,15428.06892578125
2023-04-13,15630.8896484375,15650.83984375,15498.9404296875,15500.9296875,3596590000,15108.654203869048,15419.95892578125
2023-04-14,15601.7802734375,15707.8095703125,15531.1298828125,15630.8896484375,3575690000,15153.379464285714,15409.56953125
2023-04-17,15668.33984375,15668.9599609375,15573.3603515625,15601.7802734375,3611180000,15193.253720238095,15400.4847265625
2023-04-18,15684.9599609375,15710.4697265625,15634.4599609375,15668.33984375,3536640000,15244.96372767857,15394.19591796875
2023-04-19,15653.6201171875,15684.9599609375,15594.2197265625,15684.9599609375,3572560000,15286.67420014881,15389.36111328125
2023-04-20,15582.9404296875,15653.6201171875,15533.330078125,15653.6201171875,3772080000,15315.102306547618,15380.58751953125
2023-04-21,15578.9296875,15597.4501953125,15512.6201171875,15582.9404296875,3611750000,15354.999906994048,15373.47171875
2023-04-24,15606.7099609375,15623.0400390625,15557.73046875,15578.9296875,3290940000,15398.508975074405,15369.03392578125
2023-04-25,15363.5302734375,15606.7099609375,15361.5703125,15606.7099609375,3978640000,15427.316592261905,15358.09072265625
2023-04-26,15228.580078125,15363.5302734375,15201.099609375,15363.5302734375,3837030000,15443.208519345239,15341.61732421875
2023-04-27,15431.6396484375,15443.0595703125,15228.580078125,15228.580078125,3750550000,15466.174711681548,15329.74791015625
2023-04-28,15545.8798828125,15560.009765625,15371.4501953125,15431.6396484375,4087800000,15486.266136532739,15320.3437109375
2023-05-01,15535.8896484375,15622.5595703125,15525.900390625,15545.8798828125,3321370000,15502.23279389881,15313.5858984375
2023-05-02,15314.8896484375,15535.8896484375,15189.25,15535.8896484375,4486130000,15499.374674479166,15303.08048828125
2023-05-03,15233.849609375,15421.4697265625,15227.66015625,15314.5703125,4246510000,15487.283714657739,15296.30708984375
2023-05-04,15117.669921875,15233.849609375,15055.4296875,15233.849609375,4920090000,15475.072265625,15288.04388671875
2023-05-05,15380.8701171875,15419.5703125,15117.669921875,15117.669921875,4186270000,15475.672758556548,15283.9626953125
2023-05-08,15391.26953125,15448.7099609375,15353.6796875,15380.8701171875,3641640000,15476.25083705357,15282.49888671875
2023-05-09,15352.8095703125,15393.16015625,15297.08984375,15391.26953125,3810140000,15472.709402901786,15279.696484375
2023-05-10,15349.169921875,15441.990234375,15228.419921875,15352.8095703125,4057160000,15464.530831473214,15278.10048828125
2023-05-11,15263.0703125,15349.169921875,15176.6396484375,15349.169921875,3752900000,15453.204194568452,15274.6358984375
2023-05-12,15246.3603515625,15319.6396484375,15167.7802734375,15263.0703125,3533740000,15434.893275669643,15269.07271484375
2023-05-15,15322.5595703125,15343.6396484375,15228.7998046875,15246.3603515625,3562170000,15421.59705171131,15261.10271484375
2023-05-16,15129.25,15322.5595703125,15128.6201171875,15322.5595703125,3654200000,15395.926106770834,15249.80091796875
2023-05-17,15313.919921875,15338.4697265625,15129.25,15129.25,4039080000,15378.257533482143,15247.29892578125
